5,UP-05945-5,123456,2,3,4,5,6,7,2017-11-22 11:29:49,2017-11-22 11:29:49
6,UP-05945-4,123457,3,4,5,6,7,8,2017-11-22 11:29:50,2017-11-22 11:29:50
7,UP-05945-3,123458,4,5,6,7,8,9,2017-11-22 11:29:51,2017-11-22 11:29:51
8,UP-05945-2,123459,5,6,7,8,9,10,2017-11-22 11:29:52,2017-11-22 11:29:52
9,UP-05945-1,123460,6,7,8,9,10,11,2017-11-22 11:29:53,2017-11-22 11:29:53
10,UP-059450,123461,7,8,9,10,11,12,2017-11-22 11:29:54,2017-11-22 11:29:54
11,UP-059451,123462,8,9,10,11,12,13,2017-11-22 11:29:55,2017-11-22 11:29:55
12,UP-059452,123463,9,10,11,12,13,14,2017-11-22 11:29:56,2017-11-22 11:29:56
13,UP-059453,123464,10,11,12,13,14,15,2017-11-22 11:29:57,2017-11-22 11:29:57
14,UP-059454,123465,11,12,13,14,15,16,2017-11-22 11:29:58,2017-11-22 11:29:58
15,UP-059455,123466,12,13,14,15,16,17,2017-11-22 11:29:59,2017-11-22 11:29:59
16,UP-059456,123467,13,14,15,16,17,18,2017-11-22 11:29:60,2017-11-22 11:29:60
17,UP-059457,123468,14,15,16,17,18,19,2017-11-22 11:29:61,2017-11-22 11:29:61
18,UP-059458,123469,15,16,17,18,19,20,2017-11-22 11:29:62,2017-11-22 11:29:62
19,UP-059459,123470,16,17,18,19,20,21,2017-11-22 11:29:63,2017-11-22 11:29:63
20,UP-0594510,123471,17,18,19,20,21,22,2017-11-22 11:29:64,2017-11-22 11:29:64
21,UP-0594511,123472,18,19,20,21,22,23,2017-11-22 11:29:65,2017-11-22 11:29:65
